"","x"
"SL340737.genes.results",0
"SL340752.genes.results",1
"SL340753.genes.results",0
"SL340754.genes.results",0
"SL340755.genes.results",0
"SL340756.genes.results",0
"SL340757.genes.results",0
"SL340758.genes.results",0
"SL340759.genes.results",0
"SL340760.genes.results",0
"SL340774.genes.results",0
"SL340775.genes.results",0
"SL340776.genes.results",0
"SL340777.genes.results",1
"SL340778.genes.results",1
"SL340779.genes.results",1
"SL340780.genes.results",1
"SL340781.genes.results",1
"SL340782.genes.results",1
"SL340783.genes.results",1
"SL340784.genes.results",1
"SL340785.genes.results",1
"SL340786.genes.results",0
"SL340787.genes.results",0
"SL340788.genes.results",0
"SL341270.genes.results",0
"SL341271.genes.results",0
"SL341272.genes.results",0
"SL341273.genes.results",0
"SL341274.genes.results",0
"SL341275.genes.results",0
"SL341276.genes.results",0
"SL341277.genes.results",0
"SL341278.genes.results",1
"SL341279.genes.results",1
"SL341281.genes.results",1
"SL341282.genes.results",0
"SL341283.genes.results",0
"SL341284.genes.results",0
"SL341286.genes.results",0
"SL341287.genes.results",1
"SL341289.genes.results",0
"SL341292.genes.results",0
"SL341293.genes.results",1
"SL341294.genes.results",0
"SL341295.genes.results",0
"SL341296.genes.results",0
"SL341297.genes.results",0
"SL341298.genes.results",1
"SL341299.genes.results",0
"SL341300.genes.results",0
"SL341301.genes.results",0
"SL341302.genes.results",1
"SL341303.genes.results",0
"SL341304.genes.results",1
"SL341305.genes.results",0
"SL341306.genes.results",0
"SL341307.genes.results",0
"SL341308.genes.results",0
"SL341309.genes.results",0
"SL341310.genes.results",1
"SL341318.genes.results",0
"SL341319.genes.results",1
"SL341320.genes.results",1
"SL341321.genes.results",0
"SL341322.genes.results",0
"SL341323.genes.results",0
"SL341324.genes.results",0
"SL341325.genes.results",0
"SL341326.genes.results",0
"SL341327.genes.results",1
"SL341328.genes.results",0
"SL341329.genes.results",0
"SL341330.genes.results",0
"SL341331.genes.results",0
"SL341332.genes.results",0
"SL341336.genes.results",1
"SL341338.genes.results",0
"SL341339.genes.results",0
"SL341342.genes.results",1
"SL341343.genes.results",1
"SL341344.genes.results",0
"SL341345.genes.results",0
"SL341346.genes.results",0
"SL341347.genes.results",1
"SL341348.genes.results",0
"SL341349.genes.results",0
"SL341350.genes.results",1
"SL341351.genes.results",1
"SL341352.genes.results",1
"SL341353.genes.results",1
"SL341354.genes.results",1
"SL341355.genes.results",1
"SL341356.genes.results",1
"SL341357.genes.results",0
"SL341358.genes.results",0
"SL341359.genes.results",1
"SL341360.genes.results",0
"SL341365.genes.results",0
"SL342652.genes.results",1
"SL342653.genes.results",1
"SL342654.genes.results",1
"SL342655.genes.results",1
"SL342656.genes.results",1
"SL342659.genes.results",1
"SL342661.genes.results",0
"SL342663.genes.results",1
"SL342666.genes.results",0
"SL342667.genes.results",1
"SL342672.genes.results",0
"SL342676.genes.results",0
"SL342679.genes.results",1
"SL342680.genes.results",0
"SL342682.genes.results",1
"SL342685.genes.results",1
"SL342691.genes.results",1
"SL342692.genes.results",0
"SL342694.genes.results",1
"SL342699.genes.results",0
"SL342701.genes.results",1
"SL342702.genes.results",0
"SL342703.genes.results",1
"SL342707.genes.results",1
"SL342708.genes.results",0
"SL342709.genes.results",1
"SL342711.genes.results",0
"SL342714.genes.results",1
"SL342717.genes.results",0
"SL342728.genes.results",0
"SL342730.genes.results",1
"SL342731.genes.results",0
"SL342734.genes.results",0
"SL342738.genes.results",0
"SL343234.genes.results",0
"SL343258.genes.results",1
"SL343259.genes.results",1
"SL343260.genes.results",0
"SL343261.genes.results",0
"SL343283.genes.results",1
"SL343286.genes.results",1
"SL343308.genes.results",0
"SL343309.genes.results",0
"SL343310.genes.results",0
"SL343990.genes.results",0
"SL343992.genes.results",0
"SL344015.genes.results",0
"SL344038.genes.results",0
"SL344039.genes.results",0
"SL344040.genes.results",0
"SL344041.genes.results",0
"SL344043.genes.results",1
"SL344044.genes.results",1
"SL344045.genes.results",0
"SL344046.genes.results",0
"SL344047.genes.results",0
"SL344048.genes.results",0
"SL344800.genes.results",1
"SL346356.genes.results",0
"SL346358.genes.results",0
"SL346363.genes.results",0
"SL346364.genes.results",0
"SL346371.genes.results",0
"SL346372.genes.results",1
"SL346383.genes.results",0
"SL346384.genes.results",1
"SL346388.genes.results",0
"SL346391.genes.results",1
"SL346424.genes.results",1
"SL346434.genes.results",0
"SL346439.genes.results",0
"SL346443.genes.results",1
"SL346445.genes.results",1
"SL346446.genes.results",0
"SL347511.genes.results",0
"SL347514.genes.results",0
"SL347527.genes.results",0
"SL347535.genes.results",0
"SL347541.genes.results",0
"SL347559.genes.results",0
"SL348011.genes.results",0
"SL348031.genes.results",0
"SL348052.genes.results",0
"SL348053.genes.results",0
"SL349334.genes.results",1
"SL349344.genes.results",0
"SL349345.genes.results",0
"SL349352.genes.results",0
"SL349369.genes.results",0
"SL349374.genes.results",0
"SL349376.genes.results",1
"SL349384.genes.results",1
"SL350047.genes.results",0
"SL350050.genes.results",0
"SL350051.genes.results",0
"SL350053.genes.results",0
"SL350074.genes.results",0
"SL350079.genes.results",0
"SL355528.genes.results",0
"SL355529.genes.results",1
"SL355532.genes.results",0
"SL355533.genes.results",1
"SL355534.genes.results",1
"SL355541.genes.results",0
"SL355543.genes.results",0
"SL355571.genes.results",0
"SL355593.genes.results",0
"SL355599.genes.results",1
"SL355600.genes.results",0
"SL355601.genes.results",0
"SL355606.genes.results",0
"SL356003.genes.results",0
"SL356005.genes.results",0
"SL356006.genes.results",0
"SL356009.genes.results",0
"SL356014.genes.results",0
"SL356015.genes.results",0
"SL356016.genes.results",1
"SL356020.genes.results",0
"SL356021.genes.results",0
"SL356030.genes.results",1
"SL356032.genes.results",1
"SL356036.genes.results",1
"SL356038.genes.results",0
"SL356059.genes.results",1
"SL356082.genes.results",0
"SL356089.genes.results",0
"SL359718.genes.results",0
"SL359722.genes.results",0
"SL359725.genes.results",0
"SL359747.genes.results",1
"SL359748.genes.results",0
"SL359750.genes.results",1
"SL359757.genes.results",0
"SL359771.genes.results",0
"SL359772.genes.results",0
"SL359773.genes.results",0
"SL359778.genes.results",0
"SL359787.genes.results",0
"SL359788.genes.results",0
"SL359789.genes.results",0
"SL359790.genes.results",1
"SL359791.genes.results",0
"SL359792.genes.results",0
"SL359793.genes.results",0
"SL359794.genes.results",1
"SL359795.genes.results",0
"SL359796.genes.results",0
"SL359797.genes.results",1
"SL359798.genes.results",1
"SL359800.genes.results",1
"SL359801.genes.results",0
"SL362802.genes.results",0
"SL362815.genes.results",1
"SL362820.genes.results",0
"SL362823.genes.results",0
"SL362824.genes.results",1
"SL362825.genes.results",1
"SL362826.genes.results",1
"SL362827.genes.results",1
"SL362828.genes.results",0
"SL362829.genes.results",0
"SL362830.genes.results",1
"SL362831.genes.results",1
"SL362832.genes.results",1
"SL362833.genes.results",1
"SL362837.genes.results",0
"SL362838.genes.results",0
"SL362840.genes.results",1
"SL362848.genes.results",0
"SL362849.genes.results",0
"SL362851.genes.results",0
"SL362852.genes.results",1
"SL362853.genes.results",1
"SL362854.genes.results",0
"SL362855.genes.results",1
"SL362856.genes.results",0
"SL362857.genes.results",1
"SL362859.genes.results",1
"SL362860.genes.results",1
"SL362861.genes.results",1
"SL362865.genes.results",1
"SL362871.genes.results",1
"SL362874.genes.results",0
"SL362877.genes.results",0
"SL362878.genes.results",1
"SL362879.genes.results",1
"SL362880.genes.results",1
"SL362881.genes.results",1
"SL362882.genes.results",1
"SL362883.genes.results",1
"SL362884.genes.results",1
"SL362886.genes.results",1
"SL362887.genes.results",1
"SL362888.genes.results",1
"SL362889.genes.results",1
"SL362891.genes.results",1
"SL364158.genes.results",1
"SL364159.genes.results",0
"SL364160.genes.results",0
"SL364162.genes.results",0
"SL364163.genes.results",0
"SL364170.genes.results",0
"SL364180.genes.results",0
"SL364181.genes.results",0
"SL364182.genes.results",0
"SL364183.genes.results",0
"SL364184.genes.results",0
"SL364185.genes.results",0
"SL364186.genes.results",0
"SL364187.genes.results",0
"SL364188.genes.results",0
"SL364204.genes.results",0
"SL364206.genes.results",0
"SL364207.genes.results",0
"SL364208.genes.results",0
"SL364209.genes.results",0
"SL364210.genes.results",0
"SL364211.genes.results",0
"SL364228.genes.results",0
"SL364229.genes.results",0
"SL364230.genes.results",1
"SL364231.genes.results",0
"SL364232.genes.results",0
"SL364242.genes.results",0
"SL365854.genes.results",0
"SL365856.genes.results",0
"SL365858.genes.results",1
"SL365861.genes.results",0
"SL365862.genes.results",0
"SL365865.genes.results",1
"SL365867.genes.results",0
"SL365871.genes.results",1
"SL365875.genes.results",0
"SL365876.genes.results",0
"SL365887.genes.results",1
"SL365891.genes.results",0
"SL365894.genes.results",1
"SL365895.genes.results",0
"SL365897.genes.results",0
"SL365899.genes.results",1
"SL365900.genes.results",1
"SL365920.genes.results",0
"SL365921.genes.results",0
"SL365922.genes.results",1
"SL365923.genes.results",1
"SL365924.genes.results",1
"SL365938.genes.results",1
"SL365947.genes.results",1
"SL365948.genes.results",1
"SL365949.genes.results",0
"SL367594.genes.results",0
"SL367595.genes.results",1
"SL367596.genes.results",0
"SL367601.genes.results",0
"SL367602.genes.results",1
"SL367605.genes.results",0
"SL367624.genes.results",1
"SL367679.genes.results",0
"SL368616.genes.results",0
"SL368617.genes.results",0
"SL368622.genes.results",1
"SL368624.genes.results",0
"SL368625.genes.results",0
"SL368628.genes.results",0
"SL368629.genes.results",0
"SL368630.genes.results",0
"SL368632.genes.results",0
"SL368636.genes.results",1
"SL368638.genes.results",1
"SL368639.genes.results",0
"SL368641.genes.results",1
"SL368644.genes.results",0
"SL368656.genes.results",0
"SL368658.genes.results",1
"SL368660.genes.results",1
"SL368669.genes.results",0
"SL368676.genes.results",1
"SL368680.genes.results",0
"SL368682.genes.results",0
"SL368686.genes.results",0
"SL368689.genes.results",1
"SL368699.genes.results",1
"SL368700.genes.results",0
"SL368701.genes.results",0
"SL368703.genes.results",0
"SL368704.genes.results",0
"SL369930.genes.results",0
"SL369936.genes.results",1
"SL369957.genes.results",1
"SL371005.genes.results",0
"SL371006.genes.results",0
"SL371030.genes.results",0
"SL371031.genes.results",0
"SL371032.genes.results",0
"SL371033.genes.results",0
"SL371034.genes.results",1
"SL371035.genes.results",0
"SL371049.genes.results",0
"SL371050.genes.results",1
"SL371051.genes.results",0
"SL371058.genes.results",0
"SL371059.genes.results",0
"SL371060.genes.results",0
"SL371061.genes.results",0
"SL371062.genes.results",1
"SL371072.genes.results",0
"SL371073.genes.results",0
"SL371074.genes.results",0
"SL371075.genes.results",0
"SL371076.genes.results",0
"SL371088.genes.results",0
"SL371089.genes.results",0
"SL371091.genes.results",0
"SL371092.genes.results",0
"SL371093.genes.results",0
"SL371095.genes.results",0
"SL371099.genes.results",1
"SL371113.genes.results",1
"SL371114.genes.results",0
"SL371115.genes.results",1
"SL371116.genes.results",0
"SL371118.genes.results",0
"SL371119.genes.results",0
"SL371120.genes.results",1
"SL371126.genes.results",0
"SL371127.genes.results",0
"SL371146.genes.results",0
"SL371159.genes.results",0
"SL371160.genes.results",0
"SL371161.genes.results",0
"SL371165.genes.results",0
"SL371493.genes.results",0
"SL371494.genes.results",0
"SL371496.genes.results",0
"SL371498.genes.results",0
"SL371499.genes.results",0
"SL371505.genes.results",0
"SL371508.genes.results",0
"SL371509.genes.results",0
"SL371510.genes.results",0
"SL371511.genes.results",0
"SL371512.genes.results",1
"SL371513.genes.results",0
"SL371515.genes.results",0
"SL371518.genes.results",0
"SL371521.genes.results",0
"SL371524.genes.results",0
"SL371527.genes.results",0
"SL371529.genes.results",0
"SL371530.genes.results",1
"SL371531.genes.results",1
"SL371532.genes.results",0
"SL371534.genes.results",0
"SL371535.genes.results",0
"SL371538.genes.results",0
"SL371542.genes.results",0
"SL371547.genes.results",0
"SL371549.genes.results",1
"SL371550.genes.results",0
"SL371551.genes.results",0
"SL371552.genes.results",0
"SL371555.genes.results",1
"SL371556.genes.results",0
"SL371562.genes.results",1
"SL371564.genes.results",0
"SL371565.genes.results",1
"SL371567.genes.results",0
"SL371568.genes.results",1
"SL372333.genes.results",1
"SL372342.genes.results",0
"SL372344.genes.results",0
"SL372353.genes.results",1
"SL372355.genes.results",0
"SL372360.genes.results",0
"SL372361.genes.results",0
"SL372362.genes.results",0
"SL372363.genes.results",0
"SL372371.genes.results",1
"SL372373.genes.results",1
"SL372377.genes.results",1
"SL372378.genes.results",1
"SL372379.genes.results",0
"SL372381.genes.results",0
"SL372393.genes.results",1
"SL372413.genes.results",0
"SL372416.genes.results",0
"SL372422.genes.results",1
"SL372424.genes.results",0
"SL372426.genes.results",0
"SL372431.genes.results",0
"SL372437.genes.results",0
"SL372441.genes.results",0
"SL372442.genes.results",1
"SL372454.genes.results",0
"SL372455.genes.results",0
"SL372464.genes.results",0
"SL372467.genes.results",0
"SL372477.genes.results",1
"SL372480.genes.results",0
"SL372484.genes.results",0
"SL372485.genes.results",0
"SL372489.genes.results",1
"SL373334.genes.results",0
"SL373335.genes.results",0
"SL373336.genes.results",0
"SL373341.genes.results",1
"SL373342.genes.results",1
"SL373378.genes.results",1
"SL373379.genes.results",1
"SL373381.genes.results",1
"SL373383.genes.results",1
"SL373385.genes.results",0
"SL373399.genes.results",1
"SL373400.genes.results",0
"SL373402.genes.results",1
"SL373403.genes.results",0
"SL373410.genes.results",1
"SL373412.genes.results",1
"SL373413.genes.results",1
"SL375695.genes.results",0
"SL375696.genes.results",0
"SL375697.genes.results",0
"SL375698.genes.results",0
"SL375700.genes.results",0
"SL375701.genes.results",0
"SL375702.genes.results",0
"SL375704.genes.results",0
"SL375707.genes.results",1
"SL375710.genes.results",0
"SL375717.genes.results",0
"SL375718.genes.results",0
"SL375719.genes.results",0
"SL375720.genes.results",0
"SL375721.genes.results",0
"SL375723.genes.results",1
"SL375724.genes.results",0
"SL375732.genes.results",1
"SL375734.genes.results",0
"SL375735.genes.results",0
"SL375753.genes.results",0
"SL375754.genes.results",0
"SL375758.genes.results",1
"SL375761.genes.results",0
"SL376861.genes.results",0
"SL376862.genes.results",0
"SL376864.genes.results",0
"SL376866.genes.results",0
"SL376867.genes.results",0
"SL376868.genes.results",0
"SL376884.genes.results",1
"SL376887.genes.results",0
"SL376908.genes.results",0
"SL376909.genes.results",0
"SL376911.genes.results",1
"SL376913.genes.results",0
"SL376914.genes.results",0
"SL376931.genes.results",0
"SL376932.genes.results",1
"SL376933.genes.results",1
"SL376935.genes.results",0
"SL376938.genes.results",0
"SL378299.genes.results",0
"SL378300.genes.results",0
"SL378301.genes.results",0
"SL378314.genes.results",0
"SL378321.genes.results",0
"SL378322.genes.results",0
"SL378324.genes.results",0
"SL378325.genes.results",0
"SL378326.genes.results",0
"SL378327.genes.results",0
"SL378328.genes.results",1
"SL378329.genes.results",0
"SL378330.genes.results",0
"SL378331.genes.results",0
"SL378332.genes.results",1
"SL378338.genes.results",0
"SL378339.genes.results",0
"SL378343.genes.results",0
"SL378344.genes.results",0
"SL378345.genes.results",0
"SL378346.genes.results",0
"SL378347.genes.results",0
"SL378348.genes.results",0
"SL378358.genes.results",1
"SL378359.genes.results",0
"SL378360.genes.results",0
"SL378366.genes.results",0
"SL378367.genes.results",0
"SL378369.genes.results",0
"SL378370.genes.results",0
"SL378371.genes.results",0
"SL378372.genes.results",0
"SL378373.genes.results",0
"SL378384.genes.results",0
"SL380006.genes.results",0
"SL380016.genes.results",0
"SL380017.genes.results",1
"SL380027.genes.results",0
"SL380028.genes.results",0
"SL380041.genes.results",1
"SL380048.genes.results",0
"SL380049.genes.results",0
"SL380050.genes.results",0
"SL380051.genes.results",0
"SL380052.genes.results",0
"SL380080.genes.results",1
"SL380085.genes.results",0
"SL380087.genes.results",0
"SL381457.genes.results",0
"SL381459.genes.results",0
"SL381461.genes.results",0
"SL381463.genes.results",1
"SL381464.genes.results",1
"SL381471.genes.results",1
"SL381478.genes.results",0
"SL381479.genes.results",0
"SL381482.genes.results",0
"SL381483.genes.results",1
"SL381491.genes.results",0
"SL381492.genes.results",1
"SL381493.genes.results",0
"SL381503.genes.results",0
"SL381520.genes.results",1
"SL381526.genes.results",0
"SL381528.genes.results",0
"SL381543.genes.results",1
"SL381546.genes.results",0
"SL381547.genes.results",0
"SL381548.genes.results",0
"SL381553.genes.results",0
"SL381575.genes.results",0
"SL381576.genes.results",0
"SL381606.genes.results",0
"SL381607.genes.results",1
"SL381608.genes.results",0
"SL382076.genes.results",0
"SL382077.genes.results",0
"SL382088.genes.results",0
"SL382099.genes.results",0
"SL382100.genes.results",0
"SL382103.genes.results",0
"SL382104.genes.results",0
"SL382105.genes.results",1
"SL382106.genes.results",0
"SL382124.genes.results",1
"SL382127.genes.results",0
"SL382128.genes.results",0
"SL382149.genes.results",0
"SL382150.genes.results",0
"SL383123.genes.results",0
"SL383132.genes.results",0
"SL383134.genes.results",0
"SL383148.genes.results",0
"SL383151.genes.results",0
"SL383152.genes.results",0
"SL383153.genes.results",1
"SL383159.genes.results",0
"SL383164.genes.results",0
"SL383175.genes.results",0
"SL383852.genes.results",1
"SL383854.genes.results",0
"SL383862.genes.results",0
"SL383863.genes.results",0
"SL383864.genes.results",0
"SL383865.genes.results",0
"SL383866.genes.results",0
"SL383869.genes.results",0
"SL383879.genes.results",1
"SL383881.genes.results",0
"SL383888.genes.results",1
"SL383889.genes.results",1
"SL383891.genes.results",0
"SL383893.genes.results",0
"SL383894.genes.results",0
"SL383900.genes.results",1
"SL383909.genes.results",0
"SL383911.genes.results",0
"SL383921.genes.results",0
"SL383924.genes.results",1
"SL383930.genes.results",1
"SL385410.genes.results",1
"SL385413.genes.results",1
"SL385414.genes.results",1
"SL385418.genes.results",1
"SL385419.genes.results",0
"SL385420.genes.results",1
"SL385422.genes.results",0
"SL385423.genes.results",0
"SL385431.genes.results",1
"SL385432.genes.results",1
"SL385435.genes.results",0
"SL385436.genes.results",1
"SL385440.genes.results",1
"SL385441.genes.results",1
"SL385443.genes.results",0
"SL385445.genes.results",0
"SL385452.genes.results",0
"SL385453.genes.results",0
"SL385454.genes.results",0
"SL385457.genes.results",1
"SL385458.genes.results",0
"SL385459.genes.results",0
"SL385460.genes.results",1
"SL385461.genes.results",1
"SL385462.genes.results",1
"SL385470.genes.results",1
"SL385475.genes.results",0
"SL385476.genes.results",0
"SL385477.genes.results",0
"SL385480.genes.results",1
"SL385481.genes.results",1
"SL385484.genes.results",0
"SL385485.genes.results",1
"SL385487.genes.results",0
"SL385488.genes.results",1
"SL385489.genes.results",1
"SL385595.genes.results",0
"SL385596.genes.results",1
"SL385597.genes.results",0
"SL385603.genes.results",0
"SL385605.genes.results",0
"SL385609.genes.results",1
"SL385611.genes.results",0
"SL385612.genes.results",0
"SL385614.genes.results",1
"SL385617.genes.results",0
"SL385618.genes.results",0
"SL385620.genes.results",0
"SL385621.genes.results",1
"SL385622.genes.results",1
"SL385631.genes.results",1
"SL385636.genes.results",0
"SL385637.genes.results",0
"SL385641.genes.results",0
"SL385644.genes.results",1
"SL385645.genes.results",0
"SL385649.genes.results",0
"SL385667.genes.results",1
"SL385668.genes.results",0
"SL385671.genes.results",1
"SL385673.genes.results",0
"SL385674.genes.results",1
"SL385684.genes.results",1
"SL385685.genes.results",1
"SL387117.genes.results",0
"SL387120.genes.results",0
"SL387121.genes.results",0
"SL387122.genes.results",1
"SL387123.genes.results",0
"SL387124.genes.results",0
"SL387125.genes.results",0
"SL387126.genes.results",0
"SL387127.genes.results",0
"SL387128.genes.results",0
"SL387129.genes.results",1
"SL387130.genes.results",1
"SL387131.genes.results",1
"SL387132.genes.results",0
"SL387136.genes.results",0
"SL387142.genes.results",1
"SL387144.genes.results",0
"SL387145.genes.results",1
"SL387147.genes.results",1
"SL387148.genes.results",1
"SL387149.genes.results",1
"SL387151.genes.results",0
"SL387152.genes.results",0
"SL387154.genes.results",1
"SL387155.genes.results",0
"SL387164.genes.results",0
"SL387170.genes.results",1
"SL387171.genes.results",1
"SL387172.genes.results",1
"SL387173.genes.results",0
"SL387174.genes.results",1
"SL387175.genes.results",1
"SL387176.genes.results",0
"SL387177.genes.results",0
"SL387179.genes.results",1
"SL387180.genes.results",0
"SL387183.genes.results",0
"SL387191.genes.results",1
"SL387192.genes.results",1
"SL387193.genes.results",0
"SL387194.genes.results",1
"SL387195.genes.results",1
"SL387197.genes.results",1
"SL387198.genes.results",1
"SL387199.genes.results",1
"SL387200.genes.results",0
"SL387201.genes.results",1
"SL387202.genes.results",1
"SL387203.genes.results",0
"SL387205.genes.results",1
"SL387207.genes.results",1
"SL387209.genes.results",1
"SL387313.genes.results",0
"SL387314.genes.results",0
"SL387315.genes.results",0
"SL387316.genes.results",0
"SL387317.genes.results",1
"SL387318.genes.results",0
"SL387321.genes.results",1
"SL387322.genes.results",0
"SL387330.genes.results",0
"SL387331.genes.results",0
"SL387332.genes.results",0
"SL387342.genes.results",1
"SL387344.genes.results",1
"SL387346.genes.results",1
"SL387354.genes.results",0
"SL387355.genes.results",0
"SL387356.genes.results",0
"SL387357.genes.results",0
"SL387358.genes.results",0
"SL387359.genes.results",0
"SL387361.genes.results",0
"SL387362.genes.results",0
"SL387363.genes.results",0
"SL387364.genes.results",1
"SL387365.genes.results",0
"SL387366.genes.results",0
"SL387367.genes.results",0
"SL387375.genes.results",1
"SL387378.genes.results",0
"SL387379.genes.results",0
"SL387380.genes.results",0
"SL387381.genes.results",0
"SL387382.genes.results",0
"SL387383.genes.results",0
"SL387384.genes.results",0
"SL387385.genes.results",0
"SL387386.genes.results",0
"SL387387.genes.results",0
"SL387388.genes.results",0
"SL387389.genes.results",0
"SL387390.genes.results",0
"SL387396.genes.results",1
"SL387397.genes.results",0
"SL388710.genes.results",0
"SL388711.genes.results",0
"SL388712.genes.results",0
"SL388713.genes.results",0
"SL388714.genes.results",0
"SL388715.genes.results",0
"SL388716.genes.results",0
"SL388717.genes.results",0
"SL388718.genes.results",0
"SL388719.genes.results",0
"SL388720.genes.results",0
"SL388721.genes.results",0
"SL388722.genes.results",0
"SL388723.genes.results",0
"SL388724.genes.results",0
"SL388725.genes.results",0
"SL388726.genes.results",0
"SL388727.genes.results",0
"SL388728.genes.results",1
"SL388729.genes.results",0
"SL388734.genes.results",0
"SL388735.genes.results",0
"SL388736.genes.results",0
"SL388737.genes.results",0
"SL388738.genes.results",0
"SL388739.genes.results",0
"SL388740.genes.results",0
"SL388741.genes.results",0
"SL388742.genes.results",0
"SL388743.genes.results",0
"SL388744.genes.results",0
"SL388745.genes.results",0
"SL388746.genes.results",0
"SL388747.genes.results",0
"SL388748.genes.results",1
"SL388749.genes.results",0
"SL388750.genes.results",0
"SL388751.genes.results",0
"SL388752.genes.results",0
"SL388753.genes.results",1
"SL388754.genes.results",0
"SL388755.genes.results",1
"SL388756.genes.results",1
"SL388758.genes.results",0
"SL388759.genes.results",0
"SL388760.genes.results",0
"SL388761.genes.results",1
"SL388762.genes.results",0
"SL388763.genes.results",0
"SL388764.genes.results",0
"SL388765.genes.results",0
"SL388766.genes.results",0
"SL388767.genes.results",0
"SL388768.genes.results",0
"SL388769.genes.results",0
"SL388770.genes.results",0
"SL388771.genes.results",1
"SL388772.genes.results",0
"SL388773.genes.results",0
"SL388774.genes.results",0
"SL388775.genes.results",1
"SL388776.genes.results",0
"SL388777.genes.results",0
"SL388778.genes.results",0
"SL388779.genes.results",1
"SL388780.genes.results",1
"SL388781.genes.results",0
"SL388782.genes.results",0
"SL388783.genes.results",0
"SL388784.genes.results",0
"SL388785.genes.results",0
"SL388786.genes.results",0
"SL388787.genes.results",0
"SL388788.genes.results",0
"SL388789.genes.results",0
"SL388790.genes.results",0
"SL388791.genes.results",0
"SL388792.genes.results",0
"SL388793.genes.results",0
"SL388794.genes.results",0
"SL388795.genes.results",0
"SL388796.genes.results",0
"SL388797.genes.results",0
"SL388798.genes.results",0
"SL388799.genes.results",0
"SL388800.genes.results",0
"SL388801.genes.results",1
"SL388802.genes.results",1
"SL388803.genes.results",1
"SL388804.genes.results",1
"SL389998.genes.results",0
"SL389999.genes.results",0
"SL390000.genes.results",0
"SL390001.genes.results",0
"SL390002.genes.results",0
"SL390003.genes.results",0
"SL390004.genes.results",0
"SL390005.genes.results",0
"SL390006.genes.results",0
"SL390007.genes.results",0
"SL390008.genes.results",0
"SL390009.genes.results",0
"SL390010.genes.results",0
"SL390011.genes.results",0
"SL390012.genes.results",0
"SL390013.genes.results",0
"SL390014.genes.results",0
"SL390015.genes.results",0
"SL390016.genes.results",0
"SL390017.genes.results",0
"SL390018.genes.results",0
"SL390019.genes.results",1
"SL390020.genes.results",0
"SL390021.genes.results",0
"SL390022.genes.results",0
"SL390023.genes.results",1
"SL390024.genes.results",0
"SL390025.genes.results",1
"SL390026.genes.results",0
"SL390027.genes.results",0
"SL390028.genes.results",0
"SL390029.genes.results",0
"SL390030.genes.results",0
"SL390031.genes.results",0
